Statistic,Month,Taxation Class,UNIT,VALUE
Vehicles Licensed for the First Time,2021M02,New Private Cars,Number,11672
Vehicles Licensed for the First Time,2021M03,New Private Cars,Number,10672
Vehicles Licensed for the First Time,2021M04,New Private Cars,Number,8214
Vehicles Licensed for the First Time,2021M05,New Private Cars,Number,7337
Vehicles Licensed for the First Time,2021M06,New Private Cars,Number,4980
Vehicles Licensed for the First Time,2021M07,New Private Cars,Number,20232
Vehicles Licensed for the First Time,2021M08,New Private Cars,Number,8563
Vehicles Licensed for the First Time,2021M09,New Private Cars,Number,6354
Vehicles Licensed for the First Time,2021M10,New Private Cars,Number,3882
Vehicles Licensed for the First Time,2021M11,New Private Cars,Number,2167
Vehicles Licensed for the First Time,2021M12,New Private Cars,Number,832
Vehicles Licensed for the First Time,2022M01,New Private Cars,Number,15814
