Statistic,Year,Make and Model,UNIT,VALUE
New Private Cars Licensed for the First Time,2021,Seat Ateca,Number,826
New Private Cars Licensed for the First Time,2021,Seat Arona,Number,1192
New Private Cars Licensed for the First Time,2021,Seat Tarraco,Number,623
New Private Cars Licensed for the First Time,2021,Skoda Octavia,Number,2479
New Private Cars Licensed for the First Time,2021,Skoda Fabia,Number,721
New Private Cars Licensed for the First Time,2021,Skoda Superb,Number,856
New Private Cars Licensed for the First Time,2021,Skoda Yeti,Number,0
New Private Cars Licensed for the First Time,2021,Skoda Citigo,Number,0
New Private Cars Licensed for the First Time,2021,Skoda Rapid,Number,2
New Private Cars Licensed for the First Time,2021,Skoda Kodiaq,Number,1729
New Private Cars Licensed for the First Time,2021,Skoda Karoq,Number,1330
New Private Cars Licensed for the First Time,2021,Skoda Scala,Number,372
New Private Cars Licensed for the First Time,2021,Skoda Kamiq,Number,932
New Private Cars Licensed for the First Time,2021,Ssangyong Tivoli,Number,28
New Private Cars Licensed for the First Time,2021,Subaru Impreza,Number,0
New Private Cars Licensed for the First Time,2021,Subaru Forester,Number,17
New Private Cars Licensed for the First Time,2021,Subaru XV,Number,14
New Private Cars Licensed for the First Time,2021,Suzuki Swift,Number,286
New Private Cars Licensed for the First Time,2021,Suzuki Baleno,Number,0
New Private Cars Licensed for the First Time,2021,Suzuki Ignis,Number,225
New Private Cars Licensed for the First Time,2021,Suzuki Vitara,Number,613
New Private Cars Licensed for the First Time,2021,Suzuki SX4,Number,67
New Private Cars Licensed for the First Time,2021,Suzuki Celerio,Number,0
New Private Cars Licensed for the First Time,2021,Tesla Model 3,Number,853
New Private Cars Licensed for the First Time,2021,Tesla Model S,Number,2
New Private Cars Licensed for the First Time,2021,Tesla Model X,Number,1
New Private Cars Licensed for the First Time,2021,Toyota Camry,Number,254
New Private Cars Licensed for the First Time,2021,Toyota Rav4,Number,2334
New Private Cars Licensed for the First Time,2021,Toyota Avensis,Number,0
New Private Cars Licensed for the First Time,2021,Toyota Yaris,Number,2718
New Private Cars Licensed for the First Time,2021,Toyota Prius,Number,29
New Private Cars Licensed for the First Time,2021,Toyota Aygo,Number,255
New Private Cars Licensed for the First Time,2021,Toyota Corolla,Number,4161
New Private Cars Licensed for the First Time,2021,Toyota Auris,Number,1
New Private Cars Licensed for the First Time,2021,Toyota Verso,Number,0
New Private Cars Licensed for the First Time,2021,Toyota C-HR,Number,2465
New Private Cars Licensed for the First Time,2021,Volkswagen Passat,Number,827
New Private Cars Licensed for the First Time,2021,Volkswagen Golf,Number,2297
New Private Cars Licensed for the First Time,2021,Volkswagen Polo,Number,1659
New Private Cars Licensed for the First Time,2021,Volkswagen Jetta,Number,0
New Private Cars Licensed for the First Time,2021,Volkswagen Sharan,Number,0
New Private Cars Licensed for the First Time,2021,Volkswagen Beetle,Number,0
New Private Cars Licensed for the First Time,2021,Volkswagen Touran,Number,37
New Private Cars Licensed for the First Time,2021,Volkswagen Tiguan,Number,2502
New Private Cars Licensed for the First Time,2021,Volkswagen Up,Number,1
New Private Cars Licensed for the First Time,2021,Volkswagen Arteon,Number,173
New Private Cars Licensed for the First Time,2021,Volkswagen T-Roc,Number,1383
New Private Cars Licensed for the First Time,2021,Volkswagen T-Cross,Number,644
New Private Cars Licensed for the First Time,2021,Volkswagen ID.3,Number,1247
New Private Cars Licensed for the First Time,2021,Volkswagen ID.4,Number,1418
New Private Cars Licensed for the First Time,2021,Volvo S60,Number,19
New Private Cars Licensed for the First Time,2021,Volvo XC90,Number,336
New Private Cars Licensed for the First Time,2021,Volvo V40,Number,0
New Private Cars Licensed for the First Time,2021,Volvo XC60,Number,371
New Private Cars Licensed for the First Time,2021,Volvo V60,Number,61
New Private Cars Licensed for the First Time,2021,Volvo S90,Number,36
New Private Cars Licensed for the First Time,2021,Volvo V90,Number,14
New Private Cars Licensed for the First Time,2021,Volvo XC40,Number,516
New Private Cars Licensed for the First Time,2021,Other,Number,2845
New Private Cars Licensed for the First Time,2021,All models,Number,101853
New Private Cars Licensed for the First Time Rank,2021,Alfa Romeo Giulietta,Number,191
New Private Cars Licensed for the First Time Rank,2021,Alfa Romeo Giulia,Number,169
New Private Cars Licensed for the First Time Rank,2021,Alfa Romeo Stelvio,Number,198
New Private Cars Licensed for the First Time Rank,2021,Audi TT,Number,199
New Private Cars Licensed for the First Time Rank,2021,Audi A3,Number,42
New Private Cars Licensed for the First Time Rank,2021,Audi A4,Number,56
New Private Cars Licensed for the First Time Rank,2021,Audi A6,Number,58
New Private Cars Licensed for the First Time Rank,2021,Audi A8,Number,175
New Private Cars Licensed for the First Time Rank,2021,Audi Q7,Number,137
New Private Cars Licensed for the First Time Rank,2021,Audi S5,Number,
New Private Cars Licensed for the First Time Rank,2021,Audi A5,Number,96
New Private Cars Licensed for the First Time Rank,2021,Audi Q5,Number,78
New Private Cars Licensed for the First Time Rank,2021,Audi A1,Number,105
New Private Cars Licensed for the First Time Rank,2021,Audi A7,Number,185
New Private Cars Licensed for the First Time Rank,2021,Audi Q3,Number,60
New Private Cars Licensed for the First Time Rank,2021,Audi Q2,Number,95
New Private Cars Licensed for the First Time Rank,2021,Audi Q8,Number,163
New Private Cars Licensed for the First Time Rank,2021,Audi e-tron,Number,75
New Private Cars Licensed for the First Time Rank,2021,BMW 5 Series,Number,33
New Private Cars Licensed for the First Time Rank,2021,BMW 7 Series,Number,161
New Private Cars Licensed for the First Time Rank,2021,BMW X5,Number,46
New Private Cars Licensed for the First Time Rank,2021,BMW 6 Series,Number,
New Private Cars Licensed for the First Time Rank,2021,BMW X3,Number,70
New Private Cars Licensed for the First Time Rank,2021,BMW M5,Number,
New Private Cars Licensed for the First Time Rank,2021,BMW 8 Series,Number,165
New Private Cars Licensed for the First Time Rank,2021,BMW 3 Series,Number,50
New Private Cars Licensed for the First Time Rank,2021,BMW X1,Number,94
New Private Cars Licensed for the First Time Rank,2021,BMW 1 Series,Number,88
New Private Cars Licensed for the First Time Rank,2021,BMW 4 Series,Number,106
New Private Cars Licensed for the First Time Rank,2021,BMW i3,Number,150
New Private Cars Licensed for the First Time Rank,2021,BMW 2 Series,Number,68
New Private Cars Licensed for the First Time Rank,2021,BMW M4,Number,193
New Private Cars Licensed for the First Time Rank,2021,BMW X4,Number,175
New Private Cars Licensed for the First Time Rank,2021,BMW M2,Number,193
New Private Cars Licensed for the First Time Rank,2021,BMW X2,Number,156
New Private Cars Licensed for the First Time Rank,2021,BMW X7,Number,172
New Private Cars Licensed for the First Time Rank,2021,BMW iX,Number,185
New Private Cars Licensed for the First Time Rank,2021,Citroen C3,Number,113
New Private Cars Licensed for the First Time Rank,2021,Citroen C4,Number,119
New Private Cars Licensed for the First Time Rank,2021,Citroen C1,Number,203
New Private Cars Licensed for the First Time Rank,2021,Citroen DS3,Number,193
New Private Cars Licensed for the First Time Rank,2021,Citroen C4 Cactus,Number,169
New Private Cars Licensed for the First Time Rank,2021,Citroen Grand C4 Spacetourer,Number,135
New Private Cars Licensed for the First Time Rank,2021,Citroen C3 Aircross,Number,127
New Private Cars Licensed for the First Time Rank,2021,Citroen C5 Aircross,Number,80
New Private Cars Licensed for the First Time Rank,2021,Cupra Formentor,Number,111
New Private Cars Licensed for the First Time Rank,2021,Dacia Sandero,Number,34
New Private Cars Licensed for the First Time Rank,2021,Dacia Duster,Number,28
New Private Cars Licensed for the First Time Rank,2021,Dacia Logan,Number,140
New Private Cars Licensed for the First Time Rank,2021,Fiat Punto,Number,208
New Private Cars Licensed for the First Time Rank,2021,Fiat Tipo,Number,165
New Private Cars Licensed for the First Time Rank,2021,Fiat 500,Number,117
New Private Cars Licensed for the First Time Rank,2021,Fiat Panda,Number,150
New Private Cars Licensed for the First Time Rank,2021,Fiat 500L,Number,193
New Private Cars Licensed for the First Time Rank,2021,Fiat 500X,Number,163
New Private Cars Licensed for the First Time Rank,2021,Ford Fiesta,Number,31
New Private Cars Licensed for the First Time Rank,2021,Ford Mondeo,Number,69
New Private Cars Licensed for the First Time Rank,2021,Ford Galaxy,Number,172
New Private Cars Licensed for the First Time Rank,2021,Ford Puma,Number,14
New Private Cars Licensed for the First Time Rank,2021,Ford Ka,Number,
New Private Cars Licensed for the First Time Rank,2021,Ford Focus,Number,9
New Private Cars Licensed for the First Time Rank,2021,Ford C-Max,Number,208
New Private Cars Licensed for the First Time Rank,2021,Ford Kuga,Number,16
New Private Cars Licensed for the First Time Rank,2021,Ford Grand C-Max,Number,208
New Private Cars Licensed for the First Time Rank,2021,Ford Ecosport,Number,156
New Private Cars Licensed for the First Time Rank,2021,Ford Mustang,Number,150
New Private Cars Licensed for the First Time Rank,2021,Ford Edge,Number,
New Private Cars Licensed for the First Time Rank,2021,Honda Civic,Number,83
New Private Cars Licensed for the First Time Rank,2021,Honda Jazz,Number,124
New Private Cars Licensed for the First Time Rank,2021,Honda CR-V,Number,122
New Private Cars Licensed for the First Time Rank,2021,Honda HR-V,Number,109
New Private Cars Licensed for the First Time Rank,2021,Hyundai Santa Fe,Number,88
New Private Cars Licensed for the First Time Rank,2021,Hyundai Tucson,Number,1
New Private Cars Licensed for the First Time Rank,2021,Hyundai i30,Number,61
New Private Cars Licensed for the First Time Rank,2021,Hyundai i10,Number,53
New Private Cars Licensed for the First Time Rank,2021,Hyundai i20,Number,24
New Private Cars Licensed for the First Time Rank,2021,Hyundai ix35,Number,
New Private Cars Licensed for the First Time Rank,2021,Hyundai ix20,Number,202
New Private Cars Licensed for the First Time Rank,2021,Hyundai i40,Number,
New Private Cars Licensed for the First Time Rank,2021,Hyundai Ioniq,Number,91
New Private Cars Licensed for the First Time Rank,2021,Hyundai Kona,Number,11
New Private Cars Licensed for the First Time Rank,2021,Hyundai Bayon,Number,107
New Private Cars Licensed for the First Time Rank,2021,Jaguar XF,Number,158
New Private Cars Licensed for the First Time Rank,2021,Jaguar XE,Number,197
New Private Cars Licensed for the First Time Rank,2021,Jaguar F-Pace,Number,132
New Private Cars Licensed for the First Time Rank,2021,Jaguar E-Pace,Number,200
New Private Cars Licensed for the First Time Rank,2021,Jaguar I-Pace,Number,146
New Private Cars Licensed for the First Time Rank,2021,Jeep Renegade,Number,182
New Private Cars Licensed for the First Time Rank,2021,Jeep Compass,Number,185
New Private Cars Licensed for the First Time Rank,2021,Kia Sportage,Number,10
New Private Cars Licensed for the First Time Rank,2021,Kia Carens,Number,
New Private Cars Licensed for the First Time Rank,2021,Kia Rio,Number,76
New Private Cars Licensed for the First Time Rank,2021,Kia Sorento,Number,48
New Private Cars Licensed for the First Time Rank,2021,Kia Picanto,Number,100
New Private Cars Licensed for the First Time Rank,2021,Kia Ceed,Number,62
New Private Cars Licensed for the First Time Rank,2021,Kia Pro_Ceed,Number,138
New Private Cars Licensed for the First Time Rank,2021,Kia Soul,Number,133
New Private Cars Licensed for the First Time Rank,2021,Kia Venga,Number,
New Private Cars Licensed for the First Time Rank,2021,Kia Optima,Number,204
New Private Cars Licensed for the First Time Rank,2021,Kia Niro,Number,22
New Private Cars Licensed for the First Time Rank,2021,Kia Stonic,Number,47
New Private Cars Licensed for the First Time Rank,2021,Kia Stinger,Number,
New Private Cars Licensed for the First Time Rank,2021,Kia XCeed,Number,66
New Private Cars Licensed for the First Time Rank,2021,KIA EV,Number,154
New Private Cars Licensed for the First Time Rank,2021,Landrover Discovery,Number,165
New Private Cars Licensed for the First Time Rank,2021,Landrover Range Rover,Number,154
New Private Cars Licensed for the First Time Rank,2021,Landrover Range Rover Sport,Number,83
New Private Cars Licensed for the First Time Rank,2021,Landrover Discovery Sport,Number,116
New Private Cars Licensed for the First Time Rank,2021,Landrover Range Rover Evoque,Number,103
New Private Cars Licensed for the First Time Rank,2021,Landrover Range Rover Velar,Number,131
New Private Cars Licensed for the First Time Rank,2021,Lexus IS,Number,
New Private Cars Licensed for the First Time Rank,2021,Lexus GS,Number,
New Private Cars Licensed for the First Time Rank,2021,Lexus LS,Number,204
New Private Cars Licensed for the First Time Rank,2021,Lexus RX,Number,145
New Private Cars Licensed for the First Time Rank,2021,Lexus CT,Number,208
New Private Cars Licensed for the First Time Rank,2021,Lexus NX,Number,120
New Private Cars Licensed for the First Time Rank,2021,Lexus RC,Number,208
New Private Cars Licensed for the First Time Rank,2021,Lexus ES,Number,115
New Private Cars Licensed for the First Time Rank,2021,Lexus UX,Number,136
New Private Cars Licensed for the First Time Rank,2021,Mazda 6,Number,141
New Private Cars Licensed for the First Time Rank,2021,Mazda 2,Number,124
New Private Cars Licensed for the First Time Rank,2021,Mazda 3,Number,101
New Private Cars Licensed for the First Time Rank,2021,Mazda MX-5,Number,190
New Private Cars Licensed for the First Time Rank,2021,Mazda CX-5,Number,88
New Private Cars Licensed for the First Time Rank,2021,Mazda CX-3,Number,189
New Private Cars Licensed for the First Time Rank,2021,Mazda CX-30,Number,85
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz S Class,Number,126
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz C Class,Number,123
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz E Class,Number,39
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz B Class,Number,161
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz CLS,Number,143
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz A Class,Number,77
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz CLA,Number,72
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz GLA,Number,87
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz GLE,Number,128
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz GLC,Number,71
New Private Cars Licensed for the First Time Rank,2021,Mercedes Benz EQC,Number,171
New Private Cars Licensed for the First Time Rank,2021,Mercedes-Benz GLB,Number,79
New Private Cars Licensed for the First Time Rank,2021,MG ZS EV,Number,99
New Private Cars Licensed for the First Time Rank,2021,Mini,Number,56
New Private Cars Licensed for the First Time Rank,2021,Mitsubishi Lancer,Number,
New Private Cars Licensed for the First Time Rank,2021,Mitsubishi Spacestar,Number,111
New Private Cars Licensed for the First Time Rank,2021,Mitsubishi Outlander,Number,128
New Private Cars Licensed for the First Time Rank,2021,Mitsubishi ASX,Number,165
New Private Cars Licensed for the First Time Rank,2021,Mitsubishi Eclipse Cross,Number,178
New Private Cars Licensed for the First Time Rank,2021,Nissan Micra,Number,27
New Private Cars Licensed for the First Time Rank,2021,Nissan Pulsar,Number,208
New Private Cars Licensed for the First Time Rank,2021,Nissan X-Trail,Number,144
New Private Cars Licensed for the First Time Rank,2021,Nissan Note,Number,
New Private Cars Licensed for the First Time Rank,2021,Nissan Qashqai,Number,17
New Private Cars Licensed for the First Time Rank,2021,Nissan Juke,Number,32
New Private Cars Licensed for the First Time Rank,2021,Nissan Leaf,Number,44
New Private Cars Licensed for the First Time Rank,2021,Opel Corsa,Number,38
New Private Cars Licensed for the First Time Rank,2021,Opel Astra,Number,102
New Private Cars Licensed for the First Time Rank,2021,Opel Zafira,Number,200
New Private Cars Licensed for the First Time Rank,2021,Opel Insignia,Number,80
New Private Cars Licensed for the First Time Rank,2021,Opel Mokka X,Number,92
New Private Cars Licensed for the First Time Rank,2021,Opel Adam,Number,
New Private Cars Licensed for the First Time Rank,2021,Opel Karl,Number,
New Private Cars Licensed for the First Time Rank,2021,Opel Crossland X,Number,64
New Private Cars Licensed for the First Time Rank,2021,Opel Grandland X,Number,65
